Cow ID,Breed,Age,Weight (kg),Lactation Stage,Daily Feed (kg),Protein %,Fat %,Fiber %,Milk Yield (L/day),Milk Fat %,Temp (°C),Humidity (%)
001,Guernsey,8,652.73,Late,24.53,15.37,4.05,28.2,28.81,4.03,23.78,56.45
002,Holstein,4,503.92,Mid,16.36,16.81,4.3,13.09,18.19,3.95,23.87,49.46
003,Guernsey,4,653.6,Early,15.49,19.5,7.85,22.54,18.1,4.34,25.79,69.2
004,Guernsey,8,615.99,Early,15.87,14.49,6.67,10.58,16.89,3.51,26.18,45.27
005,Holstein,9,711.94,Late,21.67,14.0,6.5,22.87,24.31,3.62,22.72,67.21
006,Holstein,6,442.79,Late,19.13,17.23,7.26,15.54,21.31,3.69,19.96,73.7
007,Guernsey,5,704.41,Late,24.33,16.95,3.58,18.99,27.9,3.78,27.56,49.14
008,Jersey,9,616.51,Late,29.89,14.66,6.53,16.91,32.83,4.27,19.65,74.66
009,Guernsey,8,785.2,Mid,20.79,19.42,5.52,13.46,23.57,4.99,22.61,41.33
010,Guernsey,7,536.75,Early,23.61,18.76,7.15,22.44,27.48,4.48,21.02,76.51
011,Guernsey,3,653.05,Late,21.23,13.79,5.54,27.64,24.38,3.59,27.83,44.73
012,Guernsey,5,772.81,Mid,27.71,13.91,6.1,29.18,31.99,4.29,21.48,65.83
013,Holstein,5,441.0,Late,28.53,16.1,5.39,13.85,31.48,4.24,20.79,50.0
014,Guernsey,4,774.89,Late,28.16,18.19,5.39,24.35,33.14,3.72,25.35,73.46
015,Jersey,5,675.15,Early,29.62,12.35,6.84,23.29,32.75,4.88,24.04,60.49
016,Holstein,8,427.13,Late,15.41,17.55,6.14,16.87,17.4,4.16,16.61,45.41
017,Jersey,7,520.39,Early,27.6,17.19,6.17,10.38,30.17,4.99,22.62,62.84
018,Jersey,7,683.27,Early,26.28,13.85,5.25,23.8,29.73,4.13,26.03,56.32
019,Jersey,2,426.94,Early,18.43,17.45,5.66,28.91,21.95,4.41,29.88,66.46
